33891,Vegetable Spring roll (100 gm),Local
41883,Scrap-MUSTARD OIL CAKE,Export
41886,Scrap ?Tamarind seed,Export
42021,Empty Plastic Drum 125 kg,Export
42115,Jar Handle 5 gm,Export
42133,Empty Cup Jelly Cup 20gm,Export
42140,Litchi Cup 12 gm,Export
42143,Stretch Film 29 µ,Export
42155,Foil School Tiffin Box-Bondhon,Export
42156,HSF For Mr.Noodles Mug,Export
42158,Sampling cup,Export
42160,Preform 29.81gm clear CSD conversion,Export
42161,Preform 29.81 gm green CSD conversion,Export
42177,Reject Pet Bottle Mixed Color,Export
42178,CPP25,Export
42235,PrintingFoil MATBOPP,Export
42822,PRAN Carton Shed Loading Bay-N,Export
42832,Takerhat Depot roof renovation work,Export
43121,"Teer Atta, Flour, Semolina",Export
43158,Dora Tiffin Box (Winner),Export
43166,Drinkit Water Purifier ? Blue,Export
43202,Jhalmuri Hanger,Export
43233,T-Shirt (Potato Cracker),Export
43313,T-Shirt (Potatos),Export
44141,"PFI Panel, 1800 KVAR",Export
44156,"COS Panel, 2000Amp",Export
44612,Fresh Potato-PABL,Export
44613,Fresh Potato (French Fry),Export
44614,Fresh Potato (CHIPS),Export
44754,Curing Room Scrap Shed Ext (New Pakmet Shed),Export
44952,PRAN Carton Shed Mezzanine,Export
44954,Substation Ext.,Export
45012,Mithai Gulab Jamun,Export
45058,Spicy chicken drumsticks- 1 pcs-DITF,Export
45173,Éclair Gift box Licorice flavor,Export
45449,Dark chocolate bar,Export
45503,ALL TIME Choco Vanilla  Bun 50gm-BML,Export
45551,Green chilli (400 gm x24 pack)-,Export
45552,Mixed vegetable(400 gm x 24 pack),Export
45553,Green Peas (400 gm x 24 pack),Export
45555,Jhatpot French Fries 2500 gm,Export
45556,Panjabi samosa 500 gm,Export
45557,Premium Paratha 10 Pcs-BM,Export
45558,Regular Paratha 05 Pcs-BM,Export
45559,Chicken Mini Samosa 250 GM (25 pcs x 10 gm)-BM,Export
45560,Chicken Mini Spring Roll 200 GM (25 pcs x 8 gm)-BM,Export
45561,Paratha- 65 gm x 20 pcs-BRAC,Export
45562,Paratha- 65 gm x 10 pcs ?BRAC,Export
45563,Paratha- 65 gm x 05 pcs-BRAC,Export
45564,Chicken wings & Drumsticks ? 500 gm,Export
45565,Jhatpot Jali kabab 30 gm x 10 pcs- 300 GM,Export
45749,White Vinegar 650ml-pet(NR)-(Intr.Company),Export
45902,Bushi- Chikon 55kg Bag,Export
45904,Wheat Flour-Premium,Export
45908,Wheat Flour- Classic,Export
46125,All Time Sandwich Cake (Butter Flavor)-BML,Export
46570,Mithai Chomchom 400 gm (Export. box),Export
46571,Mithai Roshgolla 400 gm (Export. box),Export
46572,Mithai Roshmalai 400 gm (Export. box),Export
46573,Mithai Kalojam 400 gm (Export. box),Export
46672,Samosa (Vegetable) -10 pcs-S,Export
46673,Singara (Vegetable) -10 pcs-S,Export
46815,Mini Pizza -100 gm,Export
46816,Hot dog -90 gm,Export
46817,Pizza (400 gm) - 04 pcs,Export
46818,Hotdog (360 gm) - 04 pcs,Export
46819,Biryani (500 gm),Export
46891,Jhatpot Smile Nuggets -300 gm,Export
46899,Premium Paratha 20 pcs,Export
46900,"Fun ( Chicken Mini Samosa, Spring Roll, Sausage Roll, Strips)",Export
46902,Koreana Fried Snacks  - 20 gm,Export
46971,"SET-2 (Chicken Samosa, Chicken Roll, Sauce)",Export
46973,Mini chicken samosa -250 gm-DITF,Export
47910,Jhatpot Vegetable Nuggets -300 gm,Export
46976,Chicken meat Ball (250 gm) - 10 pcs-DITF,Export
46977,Chicken sausages-340gm,Export
46978,Chicken Wonton  (300 gm) - 10 pcs-DITF,Export
46979,Chicken Burger patty- 200 gm--DITF,Export
46980,"Adda Package (Veg. Singara,Samosa,Spring Roll)",Export
48542,Jhotpot Chicken Nugget 1000 GM,Export
46982,Fish Ball (200gm)- 10 Pcs,Export
46983,"SET-1( Vegetable Singara, Samosa, Spring Roll, Sauce)",Export
46984,Jhatpot Fried rice and Spicy,Export
46825,Kids Nuggets (200 gm),Export
46986,Vegetable Singara-40 gm-10pcs,Export
46987,Vegetable Samosa-40gm -10 Pcs,Export
46988,Vegetable Spring Roll-40gm -Single,Export
46985,"Package-3 (Dal Puri, Nuggets, Veg. Roll, Sauce)",Export
46991,French Fry (120gm) & Sauce,Export
46992,White Meatball(5 pcs) & Sauce,Export
46993,Paratha (Premium pack) -10 pcs-DITF,Export
46994,Vegetable Spring Roll-DITF,Export
46995,Chicken mini spring roll (200 gm) -25 pcs-DITF,Export
46996,Spring Roll (Vegetable) -10 pcs-DITF,Export
46997,Dal Puri (454 gm) -10 pcs-DITF,Export
46998,Samosa (Vegetable) -10 pcs-DITF,Export
46999,Singara (Vegetable) -10 pcs-DITF,Export
47174,Mithai Gulab Jamun 1kg (CAN),Export
47189,Pran Gulab Jamun(Exportort),Export
47303,Premium Dates-10KG,Export
47304,SARRI Premium Dates-10KG,Export
47547,Staysafe Ultra Thin Wings -1800 pcs/ctn (Special),Export
47813,All Time Cream Roll 7 pcs box-F-New,Export
47878,Football Gum 12 pcs Chain-T,Export
47901,Jhatpot French fries 500 gm,Export
47902,Jhatpot French Fries ? 2500 gm,Export
47911,Jhatpot Vegetable Spring roll -500 gm,Export
47914,French Fry-500gm-DITF,Export
47932,Jhatpot Combo,Export
47940,Pran Chitoi Pitha- 400 gm-F,Export
47941,Pran Lotia  Sutki Vorta - 200 gm-F,Export
47942,Pran chingri  Sutki Vorta - 200 gm -F,Export
47943,Pran chepa Sutki Vorta - 200 gm -F,Export
47944,Pran Vapa Pitha   - 400 gm-F,Export
47945,Pran Puli Pitha  - 400 gm-F,Export
47946,Pran Gur Sandesh Pitha - 400 gm-F,Export
47947,Pran Choi Pitha- 360 gm-F,Export
47950,Pitha Package(Puli Pitha 40 + Vapa Pitha 100,Export
47952,Chicken Fry (Spicy) pack/13pcs,Export
47953,Chicken Masala Roll 01 pcs,Export
47986,Panjabi Samosa-80 gm x 10pcs,Export
47987,Jhatpot Chicken Samosa (400 gm),Export
47988,Jhatpot Chola 200 gm,Export
47989,Jhatpot Pastry sheet 480 gm -IC,Export
47994,Jhatpot Chola 1000 gm,Export
47995,Jhatpot Gilapi 1000 gm,Export
47998,Jhatpot Chingri Sutki 125 gm,Export
47999,Jhatpot Loitta Sutki 125 gm,Export
48013,APCL Face Mask,Export
48019,Activo Hand Rub -4 Ltr,Export
48042,Milk Man Mango Flavored Milk 200ml,Export
48120,Tasty Treat Roshmalai 1kg,Export
48221,Chicken Samusa-30g,Export
48227,Jhatpot Chicken Mini Samosa-400gm,Export
48245,BIRTHDAY PAPER CAP,Export
48246,BIRTHDAY BALLON SET,Export
48264,Mithai Chicken Nan 1 pc,Export
48265,Mithai Chicken Loaf 1 pc,Export
48266,Mithai Halua-1 Ruti-2 Sweets-1 (1 plate),Export
48267,Mithai Doi Chira Kola,Export
48268,Mithai Egg Khichuri,Export
48269,Mithai Chicken Khichuri,Export
48270,Mithai Fuchka,Export
48271,Jhatpot Egg Finger 300 gm,Export
48272,Jhatpot Chicken Paratha 500 gm,Export
48273,PRAN Mozzarella Cheese 200gm-FF,Export
48276,Mithai Chotpoti,Export
48277,Mithai Tanduri chicken,Export
48278,Mithai Chinese (Half),Export
48279,Mithai Chinese (Full),Export
48280,Mithai Mutton Tehari,Export
48281,Mithai Chow Mein,Export
48282,Mithai Chicken Gila Koliza,Export
48283,Mithai 3 layer Chick. sandwich,Export
48284,Mithai Nasi goreng,Export
48285,Mithai Corn Soup,Export
48286,Mithai Thai Clear Soup,Export
48287,Mithai Chicken Thai Soup,Export
48288,Mithai Chicken Vegetable Soup,Export
48289,Mithai Hot & Sour soup,Export
48290,Premium black coffee cake 1.5 kg,Export
48291,Vanilla Cake 1.5 Kg,Export
48292,Chocolated Coated  Cake 1.5Kg,Export
48293,Chocolate Lady Cake 1.5Kg,Export
48294,Black Forest  Cake 1.5Kg,Export
48295,Chocolate  Cake 1.5Kg,Export
48296,Cherry cake 1.5kg,Export
48297,Chocovanilla  Cake 1.5 Kg,Export
48298,Coffee  Cake 1.5 Kg,Export
48299,White Forest Cake 1.5 kg,Export
48311,Stick Gum 100pcs jar with foil,Export
48322,Premium White & Black Forest 1.5 kg,Export
48323,Premium Chocolate  Cake 1.5 kg,Export
48324,Premium Cake Vanilla 1.5 kg,Export
48325,Premium Chococoffee Cake 1.5 kg,Export
48326,American Baked Cheese Cake 1.5 kg,Export
48327,Premium Strawberry shortcake ?1.5 kg,Export
48328,Blueberry swirl cake- 1.5 kg,Export
48329,Choco cookie cake- 1.5 kg,Export
48330,Premium black coffee cake 2 kg,Export
48331,Vanilla Cake 2 Kg,Export
48332,Chocolated Coated  Cake 2Kg,Export
48333,Chocolate Lady Cake 2 Kg,Export
48334,Black Forest  Cake 2 Kg,Export
48335,Chocolate  Cake 2 Kg,Export
48336,Cherry cake 2 kg,Export
48337,Chocovanilla  Cake 2 Kg,Export
48338,Coffee  Cake 2 Kg,Export
48339,White Forest Cake 2 kg,Export
48340,Premium White & Black Forest 2 kg,Export
48341,Premium Chocolate  Cake 2 kg,Export
48342,Premium Cake Vanilla 2 kg,Export
48343,Premium Chococoffee Cake 2 kg,Export
48344,American Baked Cheese Cake 2 kg,Export
48345,Premium Strawberry shortcake ?2 kg,Export
48346,Blueberry swirl cake- 2 kg,Export
48347,Choco cookie cake- 2 kg,Export
48348,Premium black coffee cake 2.5 kg,Export
48349,Vanilla Cake 2.5 Kg,Export
48350,Chocolated Coated  Cake 2.5Kg,Export
48351,Chocolate Lady Cake 2.5Kg,Export
48352,Black Forest  Cake 2.5Kg,Export
48353,Chocolate  Cake 2.5Kg,Export
48354,Cherry cake 2.5kg,Export
48355,Chocovanilla  Cake 2.5 Kg,Export
48356,Coffee  Cake 2.5 Kg,Export
48357,White Forest Cake 2.5 kg,Export
48358,Premium White & Black Forest 2.5 kg,Export
48359,Premium Chocolate  Cake 2.5 kg,Export
48360,Premium Cake Vanilla 2.5 kg,Export
48361,Premium Chococoffee Cake 2.5 kg,Export
48362,American Baked Cheese Cake 2.5 kg,Export
48363,Premium Strawberry shortcake ?2.5 kg,Export
48364,Blueberry swirl cake- 2.5 kg,Export
48365,Choco cookie cake- 2.5 kg,Export
48373,Mithai Baklava 250 gm,Export
48374,Mithai Baklava 500 gm,Export
48392,Chicken harabara kabab 300 GM,Export
48541,Jhotpot Chicken Meat ball 1000 GM,Export
48543,Jhotpot Veg Mini singara 1000 GM,Export
48581,Jhotpot Chicken Momo 250gm,Export
48594,All Time Round Cream Bread (18pcsX1),Export
48659,Egg Finger Roll- 50gm,Export
48752,All Time Milk Bread-300 gm,Export
48951,whole chicken with skin( KG),Export
48952,Clean Skin  ( KG),Export
48954,BONELESS BREAST CHICKEN,Export
48955,BONELESS LEG CHICKEN,Export
48956,DRUM STICK CHICKEN,Export
48957,CHICKEN WINGS,Export
48969,Clean Gizzard/Liver,Export
48971,Drum Stick with skin,Export
49037,DAWN FROZEN SNACKS PARATHA 2400 gX 6 PACK,Export
49053,PRAN Deshi Vapa Pitha-400GM X 20pcs ATC BOX,Export
49054,PRAN Deshi Chitai Pitha-400GM X 20pcs ATC BOX,Export
49055,PRAN Gur Sondesh Pitha-400GM X 20pcs ATC BOX,Export
49056,PRAN Deshi Puli Pitha-400GM X 20pcs ATC BOX),Export
49108,JAN FROZEN SATKORA 300GMX24pcs(Pouch),Export
49172,PRAN TAZA FROZEN OSTA 300GM X 24pack (Foil Pack),Export
49200,Mexim Frozen Aloo Puri 454gm X 20Box,Export
49250,JAN Punjabi Samosa 75gm X 25pcs box X 6 Boxes/ctn,Export
49258,EASTER HUNT EGG CHOCOLATE BAG 1KGX10poly,Export
49259,MINI EGG CHOCOLATE BAG 200G X 24Bag,Export
49260,JAN Mini Aloo Puri 454gm X 20box,Export
49284,DUBBO VEGETABLE SAMOSA 80gm (800gmX12pack),Export
49295,TAZA Satkora 400gmX24pcs,Export
49307,PRAN Punjabi Samosa 900gm X 12Boxes/ctn,Export
49310,JAN FROZEN SEEM 300gmX24pack,Export
49314,Premium Deshi Style Paratha 2400 gm (30 pcs/pack)X 6pack,Export
49315,Mehwish Paratha 2400 gm (30 pcs/pack)X6pack,Export
49316,Mehwish Samosa 400 gm (10 pcs /pack)X20pack,Export
49463,Red Rose Green Olive 400gm X 24pack(Frozen Food),Export
49465,Pran Tatul Chutney (20gm X 420pcs) Export,Export
49473,PRAN Samosa Patty 480 gmX 20 Pack,Export
49474,PRAN Spring Roll Patty 480gmX20 Pack,Export
49504,MEXIM FROZEN OKRA CUT (300GMX24POUCH) PRINTED POUCH,Export
49505,MEXIM FROZEN GREEN OLIVE (300GMX24POUCH) PRINTED POUCH,Export
49506,MEXIM FROZEN KACHUR LATI (300GM X 24POUCH) PRINTED POUCH,Export
49507,MEXIM FROZEN KACHUR MUKHI (300GM X 24POUCH) PRINTED POUCH,Export
49508,MEXIM FROZEN GREEN HOT CHILLI (300GM X 24POUCH) PRINTED POUCH,Export
49509,MEXIM FROZEN KAKROL CUT (300GM X 24POUCH) PRINTED POUCH,Export
49510,MEXIM FROZEN GREEN MANGO (300GM X 24POUCH) PRINTED POUCH,Export
49511,MEXIM  FROZEN DUBLI (300GM X 24POUCH) PRINTED POUCH,Export
49512,MEXIM FROZEN SATKORA (300GM X 24POUCH) PRINTED POUCH,Export
49549,Mehwish Vegetable Spring Roll  400gmX20Pack,Export
49550,Mehwish Aloo puri 454gmX20Pack,Export
49551,Mehwish Dal puri 454gmX20Pack,Export
49568,JAN FROZEN KAKROL CUT (300GM X 24POUCH)- PRINTED POUCH,Export
49648,TAZA Jack Fruit Seeds 300gmX24Pack,Export
49693,PRAN ALOO PURI 454gmX20 Pack,Export
49694,PRAN DAL PURI 454gmX20 Pack,Export
49695,PRAN PARATHA 2400gmX6 Pack,Export
49696,PRAN SAMOSA 400gmX20 Pack,Export
49698,PRAN SINGARA 400gmX20 Pack,Export
49700,PRAN SPRING ROLL 400gmX20 Pack,Export
49709,Deshi Style Spring Roll 400 gmX20Pack,Export
49710,Premium Deshi Style Aloo Puri 454 gmX20Pack,Export
49711,Premium Deshi Style Dal Puri 454 gmX20Pack,Export
49712,Premium Deshi Style Flour Roti - 400gmX10 Pack,Export
49713,Premium Deshi Style Roti Chapati -1000gmX10 Pack,Export
49714,Premium Deshi Style Samosa 400 gmX20Pack,Export
49715,Premium Deshi Style Singara 400 gmX20Pack,Export
49741,7DAYS ALOO PURI 454 GM( 45 GMX10 PCS)X20pack,Export
49742,7 DAYS ALOO PURI MINI 454 GM (22.7 GMX20 PCS)X20pack,Export
49743,7 DAYS DAL PURI 454 GM (45.4 GMX10 PCS)X20pack,Export
49744,7 DAYS DAL PURI MINI 454 GM (22.7 GMX20 PCS)X20pack,Export
49745,7 DAYS VEGETABLE SPRING ROLL 400 GM(40GMX10 PCS)X 24pack,Export
49746,7 DAYS VEGETABLE SAMOSA 400 GM (40GMX10 PCS)X20pack,Export
49747,7 DAYS VEGETABLE SAMOSA MINI 400 GM (8GM X 50 PCS) X20pack,Export
49748,7 DAYS VEGETABLE SINGARA 400 GM (40GMX10 PCS)X20pack,Export
49749,7 DAYS VEGETABLE SINGARA MINI 400 GM (20GMX20 PCS)X20pack,Export
49750,7DAYS BEAN SEED  400 GMX24 PACK,Export
49751,7DAYS GREEN  BEAN 400 GMX24 PACK,Export
49752,7DAYS KACHUR LATI 400 GM X 24 PACK,Export
49753,7DAYS KACHUR MUKHI  400 GM X 24 PACK,Export
49754,7DAYS SATKORA 300 GM X 24 PACK,Export
49755,7DAYS KULSUM PARATHA (80 GM X 5 PCS) 400 GMX24pack,Export
49756,7DAYS KULSUM PARATHA(80 GM X 20 PCS) 1600 GMX 6pack,Export
49781,Premium Deshi Style Alo Paratha-2pcs/pack (250gmX20pcs),Export
49810,7DAYS PANJABI SAMOSA 800GM ( 80GMX10 PCS)X12pack,Export
49814,Mexim Pastry Sheet-480 g (16 gX30PCsX20 Packs),Export
50315,Chicken 9 pcs cut,Local
50351,Jhotpot French Fry 2.5 kg,Local
50352,Jhotpot Sausage roll -60gm X 6pcs = 360gm pack,Local
50355,Jhatpot Aloo Paratha 05 pcs,Local
50356,Jhatpot Paratha Low Fat 20pcs,Local
50913,Chicken Momo-30g,Local
50936,Jhatpot Potato Wedges 1kg,Local
51402,Chicken Sausage 340g -Regular,Local
51403,Vegetable Singara 1000g,Local
51404,Vegetable Samosa 1000g,Local
51405,Vegetable Spring Roll 1000g,Local
51406,Jhatpot Luchi 350g,Local
51407,Jhatpot Chicken Meatball-400g,Local
51408,Jhatpot Chicken Momo 1kg,Local
51409,Jhatpot Chicken Meatball-500g,Local
51410,Jhatpot Chocolate Spring Roll 1000g,Local
51411,Jhatpot Chocolate Spring Roll 300g,Local
51412,Jhatpot Chicken Lollipop 400g,Local
51414,Jhatpot Potato Wedges 500g,Local
51415,Jhatpot Chicken Sausage 250g,Local
51416,Jhatpot Gajar halwa 400g,Local
51417,Jhatpot Dal halwa 400g,Local
51418,Jhatpot Sausage Roll 1000g,Local
51419,Jhatpot Chicken Lollipop 1000g,Local
51420,Spicy Chicken 1 PC TF,Local
51421,French Fry 1 kg TF,Local
51422,Potato Wedges 1kg TF,Local
51425,Jhatpot Chicken Spring Roll 1000g,Local
51426,Jhatpot Chicken Wonton 1000g,Local
51427,Jhatpot Shrimp Samosa 250g-N,Local
51428,Jhatpot Shrimp Spring Roll 250g,Local
51430,DOHS Jhatpot Chicken Meat ball 1 Kg,Local
60347,Pran Chicken Nuggets 400g x 20pcs,Export
51432,DOHS Jhatpot Mini Chicken samosa 1 Kg,Local
51433,DOHS Jhatpot Chicken mini spring roll 1 Kg,Local
51434,DOHS Jhatpot French Fry 2.5 kg,Local
51436,Jhatpot Chicken Shami Kabab 250gm,Local
56068,PRAN Frozen Choi Pitha-400 gX20 Pouch,Export
